Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_12922,Similar to Tat Tyrosine aminotransferase (Mus musculus),4.36E-09,2,NA,NA,NA,NA,0.882172453,0.000326856,NA,NA,-1.284108017,8.79E-09,NA,NA
TCAL_12977,Similar to CG9705 Cold shock domain-containing protein CG9705 (Drosophila melanogaster),4.31E-15,9,NA,NA,NA,NA,NA,NA,-0.819127631,1.14E-13,-0.855799714,6.07E-15,NA,NA
TCAL_12978,"Similar to B4gat1 Beta-1,4-glucuronyltransferase 1 (Mus musculus)",0.000403853,4,NA,NA,NA,NA,-0.313818725,0.054540232,NA,NA,0.298745285,0.096252206,NA,NA
TCAL_12990,Similar to SLC18B1 MFS-type transporter SLC18B1 (Homo sapiens),0.00050373,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_12994,Similar to dim-1 Disorganized muscle protein 1 (Caenorhabditis elegans),NA,NA,NA,NA,NA,NA,0.256226226,0.090400992,NA,NA,NA,NA,NA,NA
TCAL_13009,Similar to SLC16A14 Monocarboxylate transporter 14 (Homo sapiens),0.000255794,2,NA,NA,NA,NA,0.828575604,0.021466742,NA,NA,-0.798275874,0.038076321,NA,NA
TCAL_13034,Similar to CYP15A1 Methyl farnesoate epoxidase (Diploptera punctata),0.000274313,8,NA,NA,-0.554819246,0.012603143,-0.433552006,0.064539124,-0.549047717,0.008987142,NA,NA,NA,NA
TCAL_13039,Protein of unknown function,8.81E-15,7,0.909965932,0.000107081,1.255085058,8.68E-10,1.380960663,3.13E-12,1.67108032,5.17E-18,NA,NA,NA,NA
TCAL_13043,Similar to thrb Thyroid hormone receptor beta (Lithobates catesbeiana),1.69E-17,8,-1.236066286,8.48E-08,-1.488500323,9.34E-12,-1.095742525,7.75E-07,-0.888827514,0.000122137,NA,NA,NA,NA
TCAL_13046,Protein of unknown function,1.24E-06,6,NA,NA,-0.366318231,0.065021431,-0.599174902,5.02E-05,-0.37378707,0.038718541,NA,NA,0.413582663,0.068285859
TCAL_13047,"Similar to FAD3 Omega-3 fatty acid desaturase, endoplasmic reticulum (Nicotiana tabacum)",0.003388269,4,NA,NA,NA,NA,NA,NA,NA,NA,0.897448372,0.030338417,NA,NA
TCAL_13049,chondroitin proteoglycan-2-like,0.000193421,8,NA,NA,-0.285528186,0.040973813,-0.291663243,0.022446043,NA,NA,NA,NA,NA,NA
TCAL_13066,Similar to F40A3.3 Phosphatidylethanolamine-binding protein homolog F40A3.3 (Caenorhabditis elegans),0.000451412,8,NA,NA,NA,NA,-0.522660643,0.048983336,NA,NA,NA,NA,NA,NA
TCAL_13067,Similar to inx2 Innexin inx2 (Schistocerca americana),0.003824956,4,NA,NA,NA,NA,NA,NA,NA,NA,0.391920249,0.04852826,NA,NA
TCAL_13090,Protein of unknown function,0.000178145,6,NA,NA,NA,NA,-0.5261394,0.003076089,-0.442002192,0.020942904,NA,NA,NA,NA
TCAL_13116,Similar to Slc6a13 Sodium- and chloride-dependent GABA transporter 2 (Rattus norvegicus),0.004004969,3,NA,NA,NA,NA,0.804338787,0.048119565,NA,NA,NA,NA,NA,NA
TCAL_13120,Similar to cadm3 Cell adhesion molecule 3 (Xenopus laevis),5.34E-05,1,NA,NA,NA,NA,1.259004095,0.032771359,1.243890811,0.038436147,NA,NA,NA,NA
TCAL_13129,Similar to DYNLRB2 Dynein light chain roadblock-type 2 (Bos taurus),0.001869029,4,NA,NA,NA,NA,NA,NA,NA,NA,0.491541091,0.061094469,NA,NA
TCAL_13139,Similar to Slc18b1 MFS-type transporter SLC18B1 (Mus musculus),4.74E-11,5,NA,NA,NA,NA,0.348140093,0.005954577,NA,NA,-0.464208423,6.57E-05,-0.453123869,0.000939769
TCAL_13144,Similar to HARBI1 Putative nuclease HARBI1 (Homo sapiens),2.09E-06,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13161,Similar to Hemagglutinin/amebocyte aggregation factor (Limulus polyphemus),8.85E-06,8,NA,NA,-0.281598217,0.026903502,NA,NA,-0.417079843,3.43E-05,NA,NA,NA,NA
TCAL_13171,Similar to 63 kDa sperm flagellar membrane protein (Strongylocentrotus purpuratus),0.000138204,1,NA,NA,NA,NA,NA,NA,NA,NA,1.279321385,0.006085489,NA,NA
TCAL_13173,Similar to Serine protease inhibitor dipetalogastin (Fragment) (Dipetalogaster maximus),1.67E-06,1,0.989803031,0.002848301,0.86377619,0.009056273,1.058214802,0.000199166,1.078926889,0.000124531,NA,NA,NA,NA
TCAL_13179,DNA topoisomerase 2-binding 1-A,NA,NA,NA,NA,NA,NA,0.339693526,0.059694551,NA,NA,NA,NA,NA,NA
TCAL_13183,Similar to ADGRG6 Adhesion G-protein coupled receptor G6 (Homo sapiens),0.010658202,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13195,Protein of unknown function,8.15E-09,8,NA,NA,-0.473076715,0.006899755,-0.675228827,5.14E-06,-0.571533477,0.000216108,NA,NA,NA,NA
TCAL_13197,Protein of unknown function,7.95E-09,2,0.441515227,0.066804087,0.438560872,0.037031839,0.606868678,0.00027365,NA,NA,-0.738498794,3.99E-06,NA,NA
TCAL_13198,Similar to Ugt1a6 UDP-glucuronosyltransferase 1-6 (Mus musculus),3.14E-05,1,NA,NA,NA,NA,NA,NA,0.383176365,0.02268364,NA,NA,NA,NA
TCAL_13203,PREDICTED: lachesin-like,2.68E-05,4,NA,NA,NA,NA,-0.773540536,0.043058424,NA,NA,0.83274769,0.030338417,NA,NA
TCAL_13213,"Similar to GOT1 Aspartate aminotransferase, cytoplasmic (Gallus gallus)",1.26E-10,8,NA,NA,NA,NA,NA,NA,-0.529257426,0.000727005,NA,NA,NA,NA
TCAL_13227,Similar to thrb Thyroid hormone receptor beta (Paralichthys olivaceus),8.60E-09,6,NA,NA,-1.117512707,0.00615983,-1.185768246,0.001735093,-1.208253023,0.001405896,NA,NA,NA,NA
TCAL_13235,Similar to Slc26a6 Solute carrier family 26 member 6 (Mus musculus),4.78E-05,7,NA,NA,NA,NA,NA,NA,0.291672028,0.031616835,NA,NA,NA,NA
TCAL_13240,Similar to mth2 G-protein coupled receptor Mth2 (Drosophila yakuba),0.000108907,2,NA,NA,NA,NA,0.803024094,0.061002472,NA,NA,-0.926252209,0.030132966,NA,NA
TCAL_13241,Similar to Mvd Diphosphomevalonate decarboxylase (Mus musculus),NA,NA,-0.347819513,0.039893312,NA,NA,-0.302485174,0.041314234,NA,NA,NA,NA,NA,NA
TCAL_13243,Similar to Cyp6a13 Probable cytochrome P450 6a13 (Drosophila melanogaster),9.89E-14,2,0.451649379,9.19E-05,0.505757201,1.77E-06,0.590798893,2.66E-09,NA,NA,-0.399521139,0.0003527,NA,NA
TCAL_13279,Similar to obst-E Protein obstructor-E (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,2.423347896,0.082807293,2.710843021,0.039923271,NA,NA,NA,NA
TCAL_13288,Similar to slc46a1 Proton-coupled folate transporter (Xenopus laevis),3.25E-14,6,NA,NA,-0.529959666,0.007908749,-0.665598301,0.000134003,-1.002098443,2.04E-10,NA,NA,NA,NA
TCAL_13295,"Similar to Bco2 Beta,beta-carotene 9',10'-oxygenase (Mus musculus)",9.14E-05,8,NA,NA,NA,NA,-0.803792928,0.030719816,-0.92607601,0.008408841,NA,NA,NA,NA
TCAL_13309,Similar to MMEL1 Membrane metallo-endopeptidase-like 1 (Homo sapiens),NA,NA,NA,NA,NA,NA,0.579032428,0.01216786,NA,NA,-0.546884388,0.027539671,NA,NA
TCAL_13312,Similar to MAFK Transcription factor MafK (Homo sapiens),NA,NA,NA,NA,-0.616373552,0.044620538,NA,NA,-0.568509973,0.056416333,NA,NA,NA,NA
TCAL_13313,Protein of unknown function,2.95E-05,6,NA,NA,-0.47772238,0.059630364,-0.721673497,0.000213144,NA,NA,NA,NA,NA,NA
TCAL_13317,Protein of unknown function,0.011329812,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13352,Similar to CYP6K1 Cytochrome P450 6k1 (Blattella germanica),NA,NA,NA,NA,-0.344534936,0.092969049,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13378,"Similar to abcb6 ATP-binding cassette sub-family B member 6, mitochondrial (Xenopus tropicalis)",NA,NA,NA,NA,NA,NA,0.526614446,0.009740385,NA,NA,NA,NA,NA,NA
TCAL_13388,Similar to HTATSF1 HIV Tat-specific factor 1 (Homo sapiens),0.001061678,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13417,Similar to Cyp2u1 Cytochrome P450 2U1 (Mus musculus),4.42E-08,8,NA,NA,-0.48152797,0.004325281,NA,NA,-0.813212401,1.01E-08,-0.5823615,0.000309501,NA,NA
TCAL_13434,Similar to RIC8A Synembryn-A (Gallus gallus),5.00E-18,2,0.725126994,7.77E-09,0.744114526,8.68E-10,0.968159393,2.50E-17,NA,NA,-0.761004919,1.45E-10,NA,NA
TCAL_13435,Similar to folt-1 Folate transporter 1 (Caenorhabditis elegans),1.51E-10,4,NA,NA,-0.666727757,0.055706246,-1.125323592,2.69E-05,NA,NA,1.471728385,2.72E-09,0.78794867,0.055738135
TCAL_13447,Similar to Slc9a3 Sodium/hydrogen exchanger 3 (Mus musculus),3.22E-05,6,NA,NA,NA,NA,NA,NA,-0.451552397,0.002609754,NA,NA,NA,NA
TCAL_13456,Similar to FR FMRFamide receptor (Drosophila melanogaster),0.000320486,3,NA,NA,NA,NA,0.684360843,0.083125251,NA,NA,NA,NA,NA,NA
TCAL_13458,Similar to abhd11 Protein ABHD11 (Danio rerio),3.06E-05,2,NA,NA,NA,NA,0.458582806,0.001376469,NA,NA,-0.394508385,0.012307848,NA,NA
TCAL_13462,Similar to nhr-85 Nuclear hormone receptor family member nhr-85 (Caenorhabditis elegans),NA,NA,NA,NA,NA,NA,1.309388548,0.044186814,NA,NA,NA,NA,NA,NA
TCAL_13477,Similar to PITPNA Phosphatidylinositol transfer protein alpha isoform (Homo sapiens),2.90E-10,8,NA,NA,NA,NA,-0.360920682,0.028852762,-0.589035717,2.42E-05,NA,NA,NA,NA
TCAL_13485,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.600720982,0.070627661,NA,NA
TCAL_13502,Similar to zig-8 Zwei Ig domain protein zig-8 (Caenorhabditis elegans),0.000141744,7,NA,NA,NA,NA,0.565829181,0.020831891,0.631189298,0.006511916,NA,NA,NA,NA
TCAL_13505,Similar to TRPM3 Transient receptor potential cation channel subfamily M member 3 (Homo sapiens),8.77E-06,8,NA,NA,NA,NA,NA,NA,-0.718950669,0.079504384,NA,NA,NA,NA
TCAL_13524,Similar to ANP2 Mitogen-activated protein kinase kinase kinase 2 (Arabidopsis thaliana),9.37E-05,8,NA,NA,NA,NA,NA,NA,-0.580558457,0.017799053,NA,NA,NA,NA
TCAL_13569,Similar to SLC46A3 Solute carrier family 46 member 3 (Pongo abelii),2.62E-07,8,NA,NA,-0.572712179,0.012842777,-0.89265103,2.64E-06,NA,NA,0.554735248,0.022509073,NA,NA
TCAL_13574,Protein of unknown function,1.01E-08,6,NA,NA,-0.465128028,8.00E-05,-0.370598369,0.002705542,-0.498620941,7.72E-06,NA,NA,NA,NA
TCAL_13616,Protein of unknown function,NA,NA,NA,NA,NA,NA,-0.333751112,0.065073072,NA,NA,NA,NA,NA,NA
TCAL_13621,Similar to TSPAN11 Tetraspanin-11 (Homo sapiens),3.74E-06,8,NA,NA,-0.497040586,0.000454238,-0.385092479,0.01079269,-0.519749829,0.000108678,NA,NA,NA,NA
TCAL_13642,Similar to PNLIP Pancreatic triacylglycerol lipase (Fragment) (Myocastor coypus),7.57E-06,6,NA,NA,-0.476978818,0.069088327,-0.603202468,0.005078576,-0.626858308,0.003189132,NA,NA,NA,NA
TCAL_13645,kelch domain-containing 8A-like,NA,NA,NA,NA,NA,NA,NA,NA,-0.83432344,0.051940608,NA,NA,NA,NA
TCAL_13673,"Similar to B3GALT1 Beta-1,3-galactosyltransferase 1 (Pongo pygmaeus)",4.75E-05,1,NA,NA,NA,NA,NA,NA,1.753763781,0.003752949,NA,NA,NA,NA
TCAL_13686,Similar to Tret1-2 Facilitated trehalose transporter Tret1-2 homolog (Drosophila sechellia),3.81E-05,4,NA,NA,NA,NA,NA,NA,NA,NA,0.225854814,0.062763451,NA,NA
TCAL_13692,Similar to Best3 Bestrophin-3 (Mus musculus),0.000584607,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.847299707,0.024333389,NA,NA
TCAL_13698,Protein of unknown function,0.010065811,1,NA,NA,NA,NA,NA,NA,2.528520506,0.057515297,NA,NA,NA,NA
TCAL_13714,Similar to CRYAB Alpha-crystallin B chain (Squalus acanthias),NA,NA,NA,NA,NA,NA,0.455100393,0.036211923,NA,NA,NA,NA,NA,NA
TCAL_13715,Similar to CRYAB Alpha-crystallin B chain (Gallus gallus),2.08E-06,8,NA,NA,-0.674542975,0.055297015,NA,NA,-1.009373837,0.000199497,NA,NA,NA,NA
TCAL_13736,chitin deacetylase 5 isoform X6,4.43E-13,4,-1.748043595,0.011057183,-2.018603689,0.000914497,-2.144562207,0.00021427,NA,NA,2.176352787,0.00020159,NA,NA
TCAL_13757,"Similar to B3GALT1 Beta-1,3-galactosyltransferase 1 (Pongo pygmaeus)",0.001106709,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13773,Similar to ABCC1 Multidrug resistance-associated protein 1 (Gallus gallus),0.000308925,2,NA,NA,NA,NA,0.676656581,0.041314234,NA,NA,-0.934230366,0.002400041,NA,NA
TCAL_13780,Similar to Slc34a2 Sodium-dependent phosphate transport protein 2B (Rattus norvegicus),1.27E-07,1,NA,NA,NA,NA,NA,NA,1.304865575,0.001867407,0.886871202,0.080175075,NA,NA
TCAL_13793,Similar to Fbxl7 F-box/LRR-repeat protein 7 (Mus musculus),9.76E-05,1,NA,NA,NA,NA,NA,NA,0.69873538,0.054323902,NA,NA,NA,NA
TCAL_13801,chitin deacetylase 2 isoform A precursor,0.000164178,1,NA,NA,NA,NA,NA,NA,1.100357845,0.05248684,NA,NA,NA,NA
TCAL_13810,Similar to urad 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (Amia calva),8.46E-52,8,-0.66327502,1.54E-06,-1.186971979,1.12E-21,-1.449148185,5.52E-32,-1.031156816,7.58E-17,0.41799137,0.022187045,0.785873165,1.45E-07
TCAL_13839,Protein of unknown function,NA,NA,NA,NA,0.529864965,0.082091098,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13852,macrophage mannose receptor 1,NA,NA,NA,NA,NA,NA,NA,NA,-0.212301677,0.034357818,NA,NA,NA,NA
TCAL_13889,Similar to dut Deoxyuridine 5'-triphosphate nucleotidohydrolase (Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NCIMB 10680)),0.002490502,8,NA,NA,-1.351123514,0.008365163,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13893,Similar to fabG 3-oxoacyl-[acyl-carrier-protein] reductase FabG (Staphylococcus aureus (strain MW2)),9.92E-12,2,0.534646773,0.000728124,0.598397196,3.24E-05,0.902481308,1.32E-12,NA,NA,-0.632120099,4.81E-06,NA,NA
TCAL_13962,Protein of unknown function,NA,NA,NA,NA,2.242783041,0.030614875,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_13992,Protein of unknown function,8.38E-06,1,NA,NA,NA,NA,0.636558039,0.01168409,0.729123835,0.001991869,NA,NA,NA,NA
TCAL_14009,Similar to FR FMRFamide receptor (Drosophila melanogaster),2.65E-07,2,0.478049814,0.005421984,0.460909729,0.004023475,0.554805592,9.21E-05,NA,NA,-0.36309883,0.038301983,NA,NA
TCAL_14010,Similar to Antp Homeotic protein antennapedia (Drosophila melanogaster),0.001201486,1,NA,NA,NA,NA,0.413084768,0.08619556,NA,NA,NA,NA,NA,NA
TCAL_14024,Similar to SPBC1683.06c Uncharacterized protein C1683.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843)),5.53E-07,7,NA,NA,0.496240312,0.016410668,0.543058793,0.003554695,0.688838321,4.44E-05,NA,NA,NA,NA
TCAL_14025,Protein of unknown function,3.04E-10,7,0.720571357,0.0013111,0.816416098,4.90E-05,1.082175895,2.49E-09,1.0948318,1.41E-09,NA,NA,NA,NA
TCAL_14204,Protein of unknown function,1.55E-13,4,NA,NA,NA,NA,-1.985607712,0.000272604,NA,NA,2.807824647,4.91E-09,2.31848861,5.73E-05
TCAL_14218,Protein of unknown function,3.34E-07,2,NA,NA,NA,NA,NA,NA,-1.07703587,0.037048865,-1.834963177,1.03E-05,NA,NA
TCAL_14248,Similar to NPR3 Atrial natriuretic peptide receptor 3 (Bos taurus),NA,NA,NA,NA,NA,NA,-1.508494247,0.070820543,NA,NA,1.636326435,0.050003699,NA,NA
TCAL_14261,Protein of unknown function,NA,NA,NA,NA,NA,NA,0.436489087,0.025540128,0.38687567,0.067574044,NA,NA,NA,NA
TCAL_14264,Protein of unknown function,1.03E-05,7,NA,NA,0.335320626,0.0273336,0.356448353,0.009513951,0.400190612,0.001991869,NA,NA,NA,NA
TCAL_14268,Similar to yajO Uncharacterized oxidoreductase YajO (Escherichia coli (strain K12)),NA,NA,NA,NA,-0.354263906,0.099242042,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_14294,Similar to sto-2 Stomatin-2 (Caenorhabditis elegans),0.000757953,1,NA,NA,NA,NA,NA,NA,0.38840668,0.0317333,NA,NA,NA,NA
TCAL_14298,Similar to UTP23 rRNA-processing protein UTP23 homolog (Bos taurus),0.003550824,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_14333,Protein of unknown function,4.17E-06,6,NA,NA,NA,NA,NA,NA,-0.656352907,0.000106287,-0.595011924,0.000972995,NA,NA
TCAL_14334,nucleoporin GLE1-like isoform X3,NA,NA,NA,NA,NA,NA,0.491791993,0.048772794,NA,NA,NA,NA,NA,NA
TCAL_14335,PREDICTED: prosaposin,0.000206253,8,NA,NA,-0.334120364,0.059630364,-0.341482364,0.032771359,-0.43145879,0.002537478,NA,NA,NA,NA
TCAL_14356,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533752307,0.069609475,NA,NA
TCAL_14359,Protein of unknown function,NA,NA,0.379638975,0.066804087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_14360,Similar to GA18377 Coiled-coil and C2 domain-containing protein 1-like (Drosophila pseudoobscura pseudoobscura),0.00105052,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_14367,Similar to Prrc2c Protein PRRC2C (Mus musculus),0.0014584,1,NA,NA,NA,NA,NA,NA,NA,NA,0.18559204,0.089619669,NA,NA
TCAL_14384,Similar to Gramd1a GRAM domain-containing protein 1A (Rattus norvegicus),0.000145459,9,NA,NA,NA,NA,NA,NA,-0.237097669,0.029410978,-0.220649994,0.063472536,NA,NA
TCAL_14385,Protein of unknown function,3.72E-07,1,NA,NA,NA,NA,NA,NA,1.05558729,0.004820014,0.900151723,0.030338417,NA,NA
TCAL_14386,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.340853408,0.074444844,NA,NA
TCAL_14390,Similar to nhr-91 Nuclear hormone receptor family member nhr-91 (Caenorhabditis elegans),0.000512027,5,NA,NA,NA,NA,NA,NA,NA,NA,-0.46877835,0.00626967,NA,NA
TCAL_14398,Similar to Cuticle protein 6 (Blaberus craniifer),0.001268224,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_14448,Similar to Postn Periostin (Mus musculus),9.98E-06,3,0.38086473,0.025979038,0.365810508,0.01877978,0.485451492,0.000187861,0.426194785,0.001674492,NA,NA,NA,NA
TCAL_14493,Similar to Ank3 Ankyrin-3 (Mus musculus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.309947378,0.05788318,NA,NA
TCAL_14523,Similar to EDEM3 ER degradation-enhancing alpha-mannosidase-like protein 3 (Homo sapiens),1.10E-06,7,NA,NA,NA,NA,0.658585854,0.039384031,0.870227887,0.001696951,NA,NA,NA,NA
TCAL_14535,Similar to per Period circadian protein (Periplaneta americana),3.77E-13,1,NA,NA,0.585016741,0.001614087,0.54334384,0.003087846,0.991890471,6.03E-11,0.448546631,0.023590865,NA,NA
TCAL_14554,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70534721,0.083754213,NA,NA
TCAL_14591,Similar to cwo Transcription factor cwo (Drosophila melanogaster),1.34E-54,7,0.745247798,2.22E-06,1.497904071,2.47E-29,1.64149407,1.11E-35,1.837773911,3.63E-45,NA,NA,-0.896246272,8.82E-10
TCAL_14617,Protein of unknown function,2.36E-05,2,NA,NA,NA,NA,0.662965104,0.000425691,NA,NA,-0.780473128,1.56E-05,NA,NA
TCAL_14633,Similar to FR FMRFamide receptor (Drosophila melanogaster),0.005700398,1,NA,NA,NA,NA,NA,NA,1.022148488,0.043654644,NA,NA,NA,NA
TCAL_14651,Protein of unknown function,0.001813028,5,NA,NA,NA,NA,NA,NA,NA,NA,-1.468352579,0.000890339,NA,NA
TCAL_14662,Protein of unknown function,6.91E-18,2,1.174323077,4.66E-06,1.178310387,2.07E-06,1.640792341,3.19E-13,NA,NA,-2.090029587,6.41E-21,NA,NA
TCAL_14669,Protein of unknown function,1.61E-12,9,NA,NA,NA,NA,NA,NA,-2.770777021,1.94E-19,-3.30354178,1.68E-28,NA,NA
TCAL_14685,probable sarcosine oxidase,0.000606774,7,0.655481155,0.059608685,0.66500864,0.025174824,0.591034468,0.043891087,NA,NA,NA,NA,NA,NA
TCAL_14702,Similar to Sqstm1 Sequestosome-1 (Rattus norvegicus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.601024117,0.033912207,NA,NA
TCAL_14749,Protein of unknown function,1.88E-14,3,0.545989131,2.12E-07,0.562988538,2.55E-08,0.822246628,1.27E-18,0.471639373,4.90E-06,-0.350607256,0.002766222,NA,NA
TCAL_14754,Protein of unknown function,6.71E-32,9,-0.790460317,0.000348435,-0.668115931,0.002719584,NA,NA,-2.707774543,1.71E-44,-2.540095387,7.00E-39,-0.62278116,0.026809138
TCAL_14774,Protein of unknown function,1.80E-40,7,0.434000172,1.49E-06,0.612239766,3.22E-14,0.86212015,3.69E-29,0.791894642,1.92E-24,NA,NA,-0.428119978,4.28E-06
TCAL_14782,Protein of unknown function,1.99E-05,2,NA,NA,0.48074054,0.065419089,0.630405713,0.00252971,NA,NA,-0.485688707,0.04852826,NA,NA
TCAL_14797,Similar to hil-4 Histone H1.4 (Caenorhabditis elegans),0.00245898,4,NA,NA,NA,NA,NA,NA,0.499027009,0.007996976,NA,NA,NA,NA
TCAL_14798,Similar to Gmcl1 Germ cell-less protein-like 1 (Mus musculus),4.82E-15,4,NA,NA,-0.732292943,0.003355979,-2.164568901,1.52E-27,NA,NA,2.419032377,8.50E-35,1.9859832,8.87E-22
TCAL_14809,Protein of unknown function,1.72E-08,8,NA,NA,NA,NA,NA,NA,-0.748474411,1.42E-07,-0.519878199,0.001477833,NA,NA
TCAL_14824,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,-0.305997892,0.021089967,NA,NA,NA,NA
TCAL_14830,Protein of unknown function,0.000190953,8,NA,NA,NA,NA,NA,NA,-0.409413318,0.010835815,NA,NA,NA,NA
TCAL_14833,Protein of unknown function,3.41E-05,8,NA,NA,NA,NA,NA,NA,-0.646070116,0.008872208,NA,NA,NA,NA
TCAL_14856,Protein of unknown function,9.41E-05,4,NA,NA,NA,NA,NA,NA,1.165932589,0.007606749,1.027750021,0.03111414,NA,NA
TCAL_14868,Protein of unknown function,0.000108142,1,NA,NA,NA,NA,NA,NA,0.403721686,0.028702907,NA,NA,NA,NA
TCAL_14908,Similar to tatD 3'-5' ssDNA/RNA exonuclease TatD (Edwardsiella tarda (strain EIB202)),NA,NA,NA,NA,NA,NA,0.393077053,0.094115451,NA,NA,NA,NA,NA,NA
TCAL_14913,Similar to TMEM18 Transmembrane protein 18 (Gallus gallus),NA,NA,NA,NA,NA,NA,0.417779072,0.098861017,NA,NA,NA,NA,NA,NA
TCAL_14918,Similar to Kdm8 Lysine-specific demethylase 8 (Rattus norvegicus),6.88E-07,2,NA,NA,NA,NA,NA,NA,NA,NA,-1.040926941,0.000791758,NA,NA
TCAL_14941,Similar to rnf144ab Probable E3 ubiquitin-protein ligase RNF144A-B (Danio rerio),NA,NA,NA,NA,NA,NA,0.497225768,0.014849618,NA,NA,-0.426424931,0.067293146,NA,NA
TCAL_14946,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,0.708298259,0.039782267,NA,NA,NA,NA
TCAL_14951,oxidoreductase -like,3.46E-06,2,0.891442577,0.070498754,NA,NA,1.338080935,3.30E-05,NA,NA,-1.274262156,0.000107078,NA,NA
TCAL_14953,Protein of unknown function,0.000271077,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_14958,Protein of unknown function,0.000463918,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.347617897,0.036910133,NA,NA
TCAL_14960,Similar to Cebpg CCAAT/enhancer-binding protein gamma (Mus musculus),NA,NA,NA,NA,NA,NA,NA,NA,-0.36976791,0.021110211,NA,NA,NA,NA
TCAL_14971,Similar to SDCBP Syntenin-1 (Homo sapiens),0.000268891,5,NA,NA,NA,NA,0.189704457,0.070820543,NA,NA,NA,NA,NA,NA
TCAL_15011,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953615191,0.091925027,NA,NA
TCAL_15032,Similar to colt Congested-like trachea protein (Drosophila melanogaster),5.83E-22,4,-0.341247016,0.006635376,-0.534411313,5.02E-08,-0.711366377,1.15E-14,NA,NA,0.64578212,6.58E-12,0.370119362,0.004839232
TCAL_15036,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,2.65983431,0.051716535,NA,NA,NA,NA
TCAL_15085,Similar to CG9705 Cold shock domain-containing protein CG9705 (Drosophila melanogaster),0.003242044,3,0.233594467,0.062759186,NA,NA,0.225356428,0.027929105,0.243504645,0.013899438,NA,NA,NA,NA
TCAL_15105,Similar to Ccdc169 Coiled-coil domain-containing protein 169 (Mus musculus),0.003793893,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.395295515,0.095431863
TCAL_15109,Similar to THAP5 THAP domain-containing protein 5 (Gallus gallus),0.001006711,4,NA,NA,NA,NA,NA,NA,NA,NA,0.397450441,0.082050466,NA,NA
TCAL_15112,Protein of unknown function,0.000759156,7,NA,NA,NA,NA,0.405153835,0.016217908,0.355375183,0.051940608,NA,NA,NA,NA
TCAL_15121,Similar to CES5A Carboxylesterase 5A (Canis lupus familiaris),4.21E-05,8,NA,NA,NA,NA,NA,NA,-1.484531771,0.015063001,NA,NA,NA,NA
TCAL_15160,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644125144,0.061777402,NA,NA
TCAL_15167,Similar to DUSP3 Dual specificity protein phosphatase 3 (Pongo abelii),9.96E-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_15179,Similar to ZNF845 Zinc finger protein 845 (Homo sapiens),0.00017376,2,NA,NA,1.01767269,0.067068136,NA,NA,NA,NA,NA,NA,NA,NA
